Date,Open,High,Low,Close,Volume
2025-01-02,5880,5925,5855,5905,1240000
2025-01-03,5905,5940,5880,5920,1190000
2025-01-06,5920,5955,5900,5945,1310000
2025-01-07,5945,5970,5915,5935,1270000
2025-01-08,5935,5980,5920,5965,1360000
2025-01-09,5965,5995,5940,5980,1290000
2025-01-10,5980,6010,5960,6005,1410000
2025-01-13,6005,6035,5985,6020,1330000
2025-01-14,6020,6050,5995,6040,1380000
2025-01-15,6040,6075,6015,6065,1450000
2025-01-16,6065,6090,6035,6050,1320000
2025-01-17,6050,6085,6025,6075,1390000
2025-01-21,6075,6110,6050,6095,1480000
2025-01-22,6095,6130,6070,6115,1430000
2025-01-23,6115,6150,6090,6135,1510000
