Date,Open,High,Low,Close,Volume
2025-01-02,108.25,108.75,107.75,108.50,1450000
2025-01-03,108.50,109.00,108.00,108.75,1380000
2025-01-06,108.75,109.25,108.25,109.00,1520000
2025-01-07,109.00,109.50,108.50,109.25,1490000
2025-01-08,109.25,109.75,108.75,109.50,1610000
2025-01-09,109.50,110.00,109.00,109.75,1570000
2025-01-10,109.75,110.25,109.25,110.00,1680000
2025-01-13,110.00,110.50,109.50,110.25,1540000
2025-01-14,110.25,110.75,109.75,110.50,1630000
2025-01-15,110.50,111.00,110.00,110.75,1710000
2025-01-16,110.75,111.25,110.25,111.00,1660000
2025-01-17,111.00,111.50,110.50,111.25,1590000
2025-01-21,111.25,111.75,110.75,111.50,1730000
2025-01-22,111.50,112.00,111.00,111.75,1680000
2025-01-23,111.75,112.25,111.25,112.00,1760000
